shipping_id,order_id,shipping_provider,delivery_status,Shipping_date,return_date
00040,00040,UPS,Delivered,2024-03-02,
00041,00041,USPS,Returned,,2024-08-20
00042,00042,UPS,in-transit,2024-07-16,
00043,00043,Purolator,out-for-delivery,2024-06-14,
00044,00044,UPS,Delivered,2024-10-11,
00045,00045,Purolator,Delivered,2024-08-05,
00046,00046,DHL,Delivered,2025-01-06,
00047,00047,Purolator,out-for-delivery,2024-04-13,
00048,00048,Purolator,Delivered,2024-08-05,
00049,00049,Canada Post,Delivered,2024-04-08,
00050,00050,Purolator,in-transit,2024-10-01,
00051,00051,DHL,in-transit,2024-08-06,
00052,00052,UPS,Delivered,2024-09-20,
00053,00053,UPS,Returned,,2024-12-26
00054,00054,FedEx,Delivered,2024-05-10,
00055,00055,UPS,out-for-delivery,2024-07-01,
00056,00056,FedEx,in-transit,2024-02-02,
00057,00057,USPS,Delivered,2024-11-25,
00058,00058,UPS,Delivered,2024-03-24,
00059,00059,UPS,Delivered,2024-07-27,
00060,00060,UPS,out-for-delivery,2024-06-11,
00061,00061,Purolator,in-transit,2024-10-06,
00062,00062,Canada Post,out-for-delivery,2024-07-28,
00063,00063,Canada Post,out-for-delivery,2024-04-04,
00064,00064,USPS,Delivered,2024-06-09,
00065,00065,DHL,in-transit,2024-10-07,
00066,00066,USPS,out-for-delivery,2024-08-31,
00067,00067,Purolator,Delivered,2024-02-16,
00068,00068,FedEx,Delivered,2024-10-18,
00069,00069,DHL,in-transit,2024-07-12,
00070,00070,Purolator,Delivered,2024-02-10,
00071,00071,FedEx,Returned,,2024-09-16
00072,00072,UPS,in-transit,2024-12-29,
00073,00073,Purolator,out-for-delivery,2024-12-13,
00074,00074,USPS,Delivered,2024-09-07,
00075,00075,USPS,Delivered,2024-10-12,
00076,00076,Canada Post,Delivered,2024-09-17,
00077,00077,Purolator,Delivered,2024-12-18,
00078,00078,Canada Post,out-for-delivery,2024-11-17,
00079,00079,USPS,Delivered,2024-08-30,
00080,00080,Canada Post,out-for-delivery,2024-11-29,
00081,00081,FedEx,in-transit,2024-10-11,
00082,00082,DHL,in-transit,2024-03-21,
00083,00083,FedEx,Delivered,2024-07-31,
00084,00084,Canada Post,in-transit,2024-08-15,
00085,00085,USPS,in-transit,2024-04-19,
00086,00086,Canada Post,in-transit,2024-02-06,
00087,00087,FedEx,in-transit,2024-08-13,
00088,00088,Purolator,Delivered,2024-08-06,
00089,00089,DHL,Delivered,2025-01-10,
00090,00090,FedEx,out-for-delivery,2025-01-08,
00091,00091,FedEx,out-for-delivery,2024-10-31,
00092,00092,UPS,out-for-delivery,2024-03-13,
00093,00093,FedEx,Delivered,2024-10-01,
00094,00094,UPS,out-for-delivery,2024-05-21,
00095,00095,DHL,Delivered,2024-03-26,
00096,00096,UPS,Returned,,2024-02-21
00097,00097,Canada Post,in-transit,2024-07-25,
00098,00098,UPS,Delivered,2025-01-10,
00099,00099,Canada Post,Delivered,2024-09-17,
00100,00100,Purolator,Delivered,2024-04-11,
00101,00101,Purolator,out-for-delivery,2024-05-07,
00102,00102,UPS,Delivered,2024-11-30,
00103,00103,FedEx,Delivered,2025-01-04,
00104,00104,UPS,in-transit,2024-06-26,
00105,00105,Canada Post,Delivered,2024-06-19,
00106,00106,Canada Post,out-for-delivery,2024-06-01,
00107,00107,DHL,Delivered,2024-08-30,
00108,00108,Canada Post,out-for-delivery,2024-06-06,
00109,00109,Canada Post,out-for-delivery,2024-02-05,
00110,00110,Canada Post,Delivered,2024-11-12,
00111,00111,UPS,out-for-delivery,2024-04-27,
00112,00112,Canada Post,out-for-delivery,2024-02-08,
00113,00113,UPS,in-transit,2024-10-04,
00114,00114,UPS,Delivered,2024-05-31,
00115,00115,DHL,out-for-delivery,2024-03-27,
00116,00116,Canada Post,Delivered,2024-12-24,
00117,00117,Purolator,out-for-delivery,2024-01-18,
00118,00118,Canada Post,Delivered,2024-06-25,
00119,00119,UPS,Delivered,2024-07-02,
00120,00120,Canada Post,in-transit,2025-01-19,
00121,00121,UPS,Delivered,2024-05-02,
00122,00122,Canada Post,Delivered,2024-07-13,
00123,00123,Purolator,in-transit,2024-05-14,
00124,00124,USPS,Delivered,2024-10-27,
00125,00125,USPS,Returned,,2025-01-19
00126,00126,FedEx,Delivered,2024-10-17,
00127,00127,Canada Post,out-for-delivery,2024-03-05,
00128,00128,FedEx,out-for-delivery,2024-09-27,
00129,00129,USPS,in-transit,2024-11-14,
00130,00130,Purolator,Delivered,2024-09-30,
00131,00131,FedEx,Delivered,2024-07-18,
00132,00132,Purolator,out-for-delivery,2025-01-09,
00133,00133,Purolator,in-transit,2025-01-17,
00134,00134,UPS,Delivered,2024-05-28,
00135,00135,UPS,in-transit,2025-01-13,
00136,00136,Purolator,in-transit,2024-03-09,
00137,00137,USPS,in-transit,2024-05-14,
00138,00138,Purolator,in-transit,2024-03-24,
00139,00139,Canada Post,Delivered,2024-10-30,
00140,00140,Canada Post,out-for-delivery,2024-01-10,
00141,00141,Purolator,in-transit,2024-06-25,
00142,00142,FedEx,in-transit,2024-08-11,
00143,00143,UPS,in-transit,2025-01-04,
00144,00144,Purolator,in-transit,2024-05-07,
00145,00145,FedEx,out-for-delivery,2024-07-31,
00146,00146,Purolator,Delivered,2024-12-26,
00147,00147,Canada Post,out-for-delivery,2024-05-17,
00148,00148,Purolator,Delivered,2025-01-22,
00149,00149,UPS,Delivered,2024-01-10,
00150,00150,Canada Post,Returned,,2024-12-26
00151,00151,USPS,out-for-delivery,2024-05-29,
00152,00152,DHL,in-transit,2025-01-16,
00153,00153,FedEx,in-transit,2024-05-28,
00154,00154,UPS,out-for-delivery,2024-12-24,
00155,00155,USPS,Delivered,2024-11-04,
00156,00156,Purolator,out-for-delivery,2024-07-26,
00157,00157,UPS,out-for-delivery,2024-04-09,
00158,00158,DHL,Delivered,2024-12-04,
00159,00159,Canada Post,Delivered,2024-04-10,
00160,00160,UPS,Delivered,2024-06-30,
00161,00161,DHL,out-for-delivery,2024-02-03,
00162,00162,UPS,Delivered,2024-01-17,
00163,00163,Canada Post,Delivered,2024-04-26,
00164,00164,UPS,Delivered,2024-04-22,
00165,00165,FedEx,Delivered,2024-11-18,
00166,00166,Purolator,Delivered,2024-09-24,
00167,00167,Purolator,in-transit,2024-11-13,
00168,00168,USPS,in-transit,2024-03-18,
00169,00169,USPS,in-transit,2024-01-23,
00170,00170,FedEx,out-for-delivery,2024-03-09,
00171,00171,USPS,in-transit,2024-06-27,
00172,00172,UPS,Delivered,2024-12-13,
00173,00173,USPS,Delivered,2024-02-18,
00174,00174,Canada Post,Delivered,2024-02-26,
00175,00175,FedEx,Delivered,2024-07-03,
00176,00176,USPS,Delivered,2025-01-20,
00177,00177,DHL,Delivered,2024-10-30,
00178,00178,UPS,in-transit,2024-10-23,
00179,00179,USPS,out-for-delivery,2024-03-30,
00180,00180,FedEx,Delivered,2024-10-10,
00181,00181,Canada Post,out-for-delivery,2024-07-08,
00182,00182,FedEx,in-transit,2024-02-09,
00183,00183,UPS,Delivered,2024-08-24,
00184,00184,USPS,Delivered,2024-10-30,
00185,00185,FedEx,Delivered,2025-01-23,
00186,00186,USPS,out-for-delivery,2024-05-09,
00187,00187,Purolator,Returned,,2024-02-15
00188,00188,Purolator,Delivered,2024-06-12,
00189,00189,Purolator,in-transit,2024-11-21,
00190,00190,DHL,Delivered,2024-11-09,
00191,00191,FedEx,Delivered,2024-07-19,
00192,00192,DHL,Delivered,2024-03-10,
00193,00193,DHL,in-transit,2024-05-13,
00194,00194,FedEx,Delivered,2024-05-10,
00195,00195,UPS,out-for-delivery,2024-03-26,
00196,00196,USPS,out-for-delivery,2024-09-24,
00197,00197,FedEx,Delivered,2024-05-07,
00198,00198,USPS,Delivered,2024-05-31,
00199,00199,USPS,Delivered,2024-12-08,
00200,00200,Purolator,Delivered,2024-02-28,
00201,00201,Purolator,Delivered,2024-03-15,
00202,00202,DHL,Delivered,2024-02-04,
00203,00203,Purolator,in-transit,2024-07-14,
00204,00204,DHL,Delivered,2024-11-16,
00205,00205,Purolator,Delivered,2024-06-29,
00206,00206,DHL,in-transit,2024-10-27,
00207,00207,FedEx,Delivered,2024-01-30,
00208,00208,DHL,out-for-delivery,2024-08-28,
00209,00209,DHL,Delivered,2024-03-19,
00210,00210,Canada Post,in-transit,2024-09-26,
00211,00211,FedEx,out-for-delivery,2024-08-13,
00212,00212,Purolator,in-transit,2024-08-17,
00213,00213,USPS,Delivered,2024-02-18,
00214,00214,DHL,out-for-delivery,2024-06-29,
00215,00215,USPS,Delivered,2024-12-20,
00216,00216,DHL,Delivered,2024-02-27,
00217,00217,DHL,out-for-delivery,2024-08-11,
00218,00218,Canada Post,in-transit,2024-06-20,
00219,00219,FedEx,Delivered,2024-10-06,
00220,00220,Canada Post,Delivered,2024-10-27,
00221,00221,Purolator,Delivered,2025-01-02,
00222,00222,USPS,Delivered,2024-08-02,
00223,00223,DHL,Delivered,2024-07-07,
00224,00224,Canada Post,in-transit,2024-08-31,
00225,00225,FedEx,in-transit,2024-07-25,
00226,00226,FedEx,in-transit,2024-03-17,
00227,00227,USPS,Delivered,2024-09-28,
00228,00228,Purolator,out-for-delivery,2024-09-02,
00229,00229,USPS,out-for-delivery,2024-09-18,
00230,00230,DHL,Returned,,2025-01-26
00231,00231,Canada Post,in-transit,2024-10-20,
00232,00232,FedEx,out-for-delivery,2024-03-14,
00233,00233,FedEx,out-for-delivery,2024-02-24,
00234,00234,UPS,Delivered,2024-05-14,
00235,00235,DHL,in-transit,2024-07-19,
00236,00236,Purolator,Delivered,2024-03-06,
00237,00237,Canada Post,out-for-delivery,2024-12-30,
00238,00238,UPS,Delivered,2024-11-17,
00239,00239,UPS,Delivered,2024-01-17,
00240,00240,Purolator,out-for-delivery,2024-04-26,
00241,00241,DHL,Delivered,2024-11-28,
00242,00242,FedEx,out-for-delivery,2024-01-22,
00243,00243,USPS,Delivered,2024-10-27,
00244,00244,DHL,Returned,,2024-07-19
00245,00245,USPS,Delivered,2024-02-28,
00246,00246,UPS,out-for-delivery,2024-07-15,
00247,00247,USPS,Delivered,2024-06-30,
00248,00248,FedEx,Delivered,2024-10-27,
00249,00249,DHL,Delivered,2024-11-11,
00250,00250,USPS,Returned,,2024-07-31
00251,00251,Canada Post,Delivered,2024-03-12,
00252,00252,FedEx,Returned,,2024-11-16
00253,00253,Canada Post,in-transit,2024-02-14,
00254,00254,UPS,out-for-delivery,2024-04-02,
00255,00255,Purolator,in-transit,2024-06-16,
00256,00256,UPS,in-transit,2024-07-28,
00257,00257,DHL,Delivered,2024-02-25,
00258,00258,DHL,out-for-delivery,2024-11-02,
00259,00259,Canada Post,in-transit,2024-04-04,
00260,00260,FedEx,out-for-delivery,2024-08-17,
00261,00261,USPS,in-transit,2024-03-23,
00262,00262,Canada Post,in-transit,2025-01-16,
00263,00263,USPS,Delivered,2024-12-27,
00264,00264,USPS,Delivered,2024-06-23,
00265,00265,Canada Post,out-for-delivery,2024-02-02,
00266,00266,Purolator,in-transit,2024-05-02,
00267,00267,UPS,in-transit,2024-02-16,
00268,00268,Purolator,Delivered,2024-08-06,
00269,00269,UPS,Returned,,2025-01-11
00270,00270,Purolator,in-transit,2024-03-08,
00271,00271,FedEx,out-for-delivery,2024-10-14,
00272,00272,Purolator,in-transit,2024-02-29,
00273,00273,DHL,in-transit,2024-10-25,
00274,00274,FedEx,Delivered,2024-12-27,
00275,00275,USPS,Delivered,2024-12-20,
00276,00276,Canada Post,out-for-delivery,2024-08-29,
00277,00277,Purolator,in-transit,2024-12-05,
00278,00278,USPS,in-transit,2024-10-03,
00279,00279,FedEx,out-for-delivery,2024-04-21,
00280,00280,USPS,Delivered,2025-01-22,
00281,00281,Purolator,Delivered,2024-04-26,
00282,00282,Purolator,Returned,,2024-02-12
00283,00283,USPS,out-for-delivery,2024-06-28,
00284,00284,Canada Post,out-for-delivery,2024-02-02,
00285,00285,Canada Post,out-for-delivery,2024-03-04,
00286,00286,USPS,Delivered,2024-08-16,
00287,00287,Canada Post,Returned,,2024-08-30
00288,00288,FedEx,Delivered,2024-04-16,
00289,00289,USPS,Delivered,2024-02-15,
00290,00290,Canada Post,out-for-delivery,2024-09-04,
00291,00291,FedEx,in-transit,2024-11-01,
00292,00292,USPS,in-transit,2024-10-10,
00293,00293,Purolator,in-transit,2024-05-27,
00294,00294,Canada Post,out-for-delivery,2024-06-13,
00295,00295,DHL,out-for-delivery,2024-04-28,
00296,00296,UPS,Delivered,2024-03-24,
00297,00297,Purolator,Delivered,2024-11-13,
00298,00298,Canada Post,in-transit,2024-11-18,
00299,00299,Purolator,in-transit,2024-02-01,
00300,00300,DHL,Delivered,2024-06-18,
00301,00301,FedEx,Delivered,2024-08-03,
00302,00302,DHL,Delivered,2024-07-14,
00303,00303,Purolator,Delivered,2024-04-15,
00304,00304,USPS,Delivered,2024-10-09,
00305,00305,Purolator,out-for-delivery,2024-05-02,
00306,00306,UPS,out-for-delivery,2024-04-07,
00307,00307,Canada Post,in-transit,2024-03-31,
00308,00308,Purolator,Delivered,2024-11-22,
00309,00309,Canada Post,Delivered,2024-09-17,
00310,00310,Canada Post,out-for-delivery,2024-05-31,
00311,00311,USPS,out-for-delivery,2024-12-06,
00312,00312,Purolator,in-transit,2024-07-08,
00313,00313,FedEx,Delivered,2024-05-27,
00314,00314,FedEx,out-for-delivery,2024-12-04,
00315,00315,DHL,Delivered,2024-05-02,
00316,00316,Purolator,in-transit,2025-01-16,
00317,00317,DHL,in-transit,2024-10-20,
00318,00318,UPS,Delivered,2024-09-27,
00319,00319,USPS,Delivered,2024-06-01,
00320,00320,Canada Post,in-transit,2024-08-04,
00321,00321,USPS,Delivered,2024-02-14,
00322,00322,Canada Post,in-transit,2024-08-04,
00323,00323,Canada Post,out-for-delivery,2024-01-27,
00324,00324,DHL,out-for-delivery,2024-11-25,
00325,00325,FedEx,out-for-delivery,2024-05-29,
00326,00326,FedEx,in-transit,2024-03-27,
00327,00327,UPS,Delivered,2024-02-10,
00328,00328,Purolator,Delivered,2024-03-08,
00329,00329,Canada Post,in-transit,2024-12-27,
00330,00330,Purolator,in-transit,2024-12-28,
00331,00331,USPS,out-for-delivery,2024-04-28,
00332,00332,UPS,in-transit,2024-07-25,
00333,00333,Canada Post,in-transit,2024-08-17,
00334,00334,Canada Post,Delivered,2024-03-22,
00335,00335,UPS,in-transit,2024-07-03,
00336,00336,Purolator,Delivered,2024-07-11,
00337,00337,FedEx,Delivered,2024-12-19,
00338,00338,Canada Post,Delivered,2025-01-06,
00339,00339,FedEx,Returned,,2024-06-20
00340,00340,FedEx,Delivered,2024-09-19,
00341,00341,USPS,out-for-delivery,2024-11-28,
00342,00342,FedEx,Delivered,2024-04-01,
00343,00343,Canada Post,out-for-delivery,2024-12-10,
00344,00344,USPS,Delivered,2024-10-17,
00345,00345,FedEx,out-for-delivery,2024-05-06,
00346,00346,Purolator,in-transit,2024-03-13,
00347,00347,Purolator,Returned,,2024-08-07
00348,00348,Canada Post,Delivered,2024-04-07,
00349,00349,USPS,Delivered,2024-01-27,
00350,00350,FedEx,Delivered,2024-10-10,
00351,00351,FedEx,Delivered,2024-03-18,
00352,00352,Canada Post,in-transit,2024-04-10,
00353,00353,Canada Post,in-transit,2024-03-11,
00354,00354,UPS,in-transit,2024-09-01,
00355,00355,USPS,out-for-delivery,2024-09-05,
00356,00356,UPS,Delivered,2024-07-13,
00357,00357,Purolator,Returned,,2024-11-19
00358,00358,Purolator,Delivered,2024-06-03,
00359,00359,UPS,out-for-delivery,2024-07-19,
00360,00360,Purolator,in-transit,2024-01-07,
00361,00361,DHL,out-for-delivery,2024-09-17,
00362,00362,FedEx,in-transit,2024-06-27,
00363,00363,FedEx,in-transit,2025-01-10,
00364,00364,FedEx,Delivered,2025-01-01,
00365,00365,FedEx,Delivered,2024-12-13,
00366,00366,UPS,Delivered,2024-06-09,
00367,00367,UPS,out-for-delivery,2024-11-22,
00368,00368,UPS,in-transit,2024-07-13,
00369,00369,FedEx,Delivered,2024-08-04,
00370,00370,USPS,Delivered,2025-01-24,
00371,00371,USPS,Delivered,2024-02-06,
00372,00372,DHL,Returned,,2024-09-20
00373,00373,FedEx,in-transit,2024-08-28,
00374,00374,DHL,Delivered,2024-07-30,
00375,00375,Purolator,Delivered,2025-01-07,
00376,00376,FedEx,in-transit,2024-10-23,
00377,00377,Canada Post,Delivered,2025-01-15,
00378,00378,DHL,Delivered,2024-12-11,
00379,00379,Canada Post,Delivered,2024-07-20,
00380,00380,Purolator,in-transit,2024-01-27,
00381,00381,USPS,in-transit,2024-09-05,
00382,00382,DHL,Delivered,2024-10-11,
00383,00383,FedEx,Delivered,2024-03-22,
00384,00384,FedEx,out-for-delivery,2025-01-14,
00385,00385,USPS,Delivered,2024-03-04,
00386,00386,DHL,in-transit,2024-10-01,
00387,00387,DHL,Delivered,2024-02-28,
00388,00388,UPS,Delivered,2024-05-06,
00389,00389,DHL,Delivered,2024-03-14,
00390,00390,Canada Post,Delivered,2024-05-30,
00391,00391,USPS,in-transit,2024-09-23,
00392,00392,UPS,Delivered,2024-10-07,
00393,00393,Canada Post,Delivered,2024-11-29,
00394,00394,USPS,Delivered,2024-04-29,
00395,00395,Canada Post,out-for-delivery,2024-06-18,
00396,00396,FedEx,Delivered,2024-04-23,
00397,00397,FedEx,in-transit,2025-01-03,
00398,00398,USPS,Delivered,2024-06-07,
00399,00399,Canada Post,in-transit,2024-09-27,
00400,00400,Purolator,in-transit,2024-02-11,
00401,00401,Purolator,Delivered,2024-11-22,
00402,00402,Purolator,out-for-delivery,2024-05-31,
00403,00403,FedEx,out-for-delivery,2024-01-26,
00404,00404,Purolator,Returned,,2024-10-27
00405,00405,DHL,in-transit,2024-05-27,
00406,00406,UPS,out-for-delivery,2025-01-02,
00407,00407,UPS,in-transit,2024-04-27,
00408,00408,DHL,Delivered,2024-12-14,
00409,00409,FedEx,Delivered,2024-07-28,
00410,00410,DHL,out-for-delivery,2024-06-28,
00411,00411,Canada Post,Delivered,2024-07-13,
00412,00412,DHL,in-transit,2024-06-10,
00413,00413,USPS,in-transit,2024-05-09,
00414,00414,USPS,out-for-delivery,2024-05-30,
00415,00415,Canada Post,Delivered,2024-06-27,
00416,00416,DHL,Delivered,2024-12-19,
00417,00417,Purolator,Returned,,2024-09-24
00418,00418,Purolator,in-transit,2024-12-13,
00419,00419,UPS,Delivered,2024-06-04,
00420,00420,DHL,in-transit,2024-06-17,
00421,00421,FedEx,out-for-delivery,2024-07-11,
00422,00422,Purolator,in-transit,2024-03-07,
00423,00423,UPS,out-for-delivery,2024-01-08,
00424,00424,Purolator,in-transit,2024-07-21,
00425,00425,FedEx,in-transit,2024-06-19,
00426,00426,FedEx,Delivered,2024-02-26,
00427,00427,FedEx,in-transit,2024-11-18,
00428,00428,UPS,Delivered,2024-12-28,
00429,00429,Canada Post,Delivered,2024-09-23,
00430,00430,UPS,Delivered,2024-02-07,
00431,00431,UPS,Delivered,2024-10-13,
00432,00432,Purolator,in-transit,2024-08-06,
00433,00433,DHL,out-for-delivery,2024-01-11,
00434,00434,Purolator,Delivered,2024-03-04,
00435,00435,Canada Post,out-for-delivery,2024-10-22,
00436,00436,FedEx,Delivered,2024-01-12,
00437,00437,FedEx,Delivered,2024-06-30,
00438,00438,FedEx,Delivered,2025-01-21,
00439,00439,Purolator,in-transit,2024-09-29,
00440,00440,DHL,in-transit,2024-04-16,
00441,00441,UPS,Delivered,2024-01-30,
00442,00442,FedEx,in-transit,2024-08-02,
00443,00443,Canada Post,in-transit,2024-07-07,
00444,00444,FedEx,in-transit,2024-01-26,
00445,00445,FedEx,Delivered,2024-04-20,
00446,00446,DHL,Returned,,2024-02-20
00447,00447,FedEx,out-for-delivery,2024-03-29,
00448,00448,Canada Post,Delivered,2024-02-27,
00449,00449,DHL,out-for-delivery,2024-06-02,
00450,00450,USPS,Delivered,2024-07-01,
00451,00451,Canada Post,Delivered,2024-08-20,
00452,00452,UPS,Delivered,2024-01-12,
00453,00453,UPS,out-for-delivery,2024-07-14,
00454,00454,DHL,Delivered,2024-03-23,
00455,00455,FedEx,in-transit,2024-09-11,
00456,00456,USPS,in-transit,2024-01-07,
00457,00457,Canada Post,in-transit,2024-01-09,
00458,00458,Canada Post,in-transit,2024-03-23,
00459,00459,USPS,Delivered,2024-07-25,
00460,00460,USPS,Delivered,2024-10-27,
00461,00461,UPS,Delivered,2025-01-26,
00462,00462,Purolator,out-for-delivery,2024-07-13,
00463,00463,UPS,out-for-delivery,2024-09-26,
00464,00464,FedEx,in-transit,2024-09-10,
00465,00465,FedEx,in-transit,2024-11-05,
00466,00466,Canada Post,in-transit,2025-01-13,
00467,00467,Canada Post,out-for-delivery,2024-05-20,
00468,00468,DHL,in-transit,2024-09-19,
00469,00469,USPS,out-for-delivery,2024-07-30,
00470,00470,UPS,in-transit,2024-06-03,
00471,00471,FedEx,out-for-delivery,2024-07-09,
00472,00472,Purolator,out-for-delivery,2024-03-28,
00473,00473,Canada Post,in-transit,2024-04-18,
00474,00474,Purolator,Delivered,2024-08-20,
00475,00475,UPS,out-for-delivery,2024-12-17,
00476,00476,DHL,in-transit,2024-11-06,
00477,00477,Canada Post,in-transit,2024-09-18,
00478,00478,DHL,out-for-delivery,2024-11-07,
00479,00479,USPS,Delivered,2024-08-28,
00480,00480,USPS,in-transit,2024-01-18,
00481,00481,USPS,Delivered,2024-02-11,
00482,00482,UPS,in-transit,2024-07-12,
00483,00483,DHL,out-for-delivery,2024-11-03,
00484,00484,Purolator,Delivered,2024-04-30,
00485,00485,USPS,Returned,,2024-11-14
00486,00486,FedEx,Delivered,2024-11-25,
00487,00487,UPS,out-for-delivery,2024-05-20,
00488,00488,Purolator,in-transit,2025-01-17,
00489,00489,FedEx,out-for-delivery,2024-11-05,
00490,00490,Purolator,out-for-delivery,2024-10-16,
00491,00491,FedEx,out-for-delivery,2024-10-24,
00492,00492,FedEx,out-for-delivery,2024-03-25,
00493,00493,DHL,Delivered,2024-06-15,
00494,00494,DHL,out-for-delivery,2024-07-28,
00495,00495,FedEx,out-for-delivery,2024-06-22,
00496,00496,DHL,Delivered,2024-06-29,
00497,00497,USPS,in-transit,2024-02-29,
00498,00498,Purolator,in-transit,2024-03-29,
00499,00499,USPS,Returned,,2024-12-14
00500,00500,Canada Post,Delivered,2024-11-13,
00501,00501,Canada Post,Delivered,2024-12-13,
00502,00502,DHL,out-for-delivery,2024-06-24,
00503,00503,FedEx,in-transit,2024-11-10,
00504,00504,Canada Post,out-for-delivery,2024-02-29,
00505,00505,UPS,Delivered,2024-01-20,
00506,00506,DHL,out-for-delivery,2024-10-15,
00507,00507,USPS,Delivered,2024-09-08,
00508,00508,DHL,out-for-delivery,2024-02-13,
00509,00509,USPS,out-for-delivery,2025-01-04,
00510,00510,DHL,Delivered,2024-12-06,
00511,00511,Canada Post,Returned,,2024-01-22
00512,00512,UPS,in-transit,2024-09-26,
00513,00513,USPS,in-transit,2024-08-24,
00514,00514,USPS,in-transit,2024-02-13,
00515,00515,Canada Post,in-transit,2024-11-26,
00516,00516,UPS,Delivered,2024-04-18,
00517,00517,USPS,in-transit,2024-02-06,
00518,00518,FedEx,in-transit,2025-01-09,
00519,00519,Purolator,Delivered,2024-03-19,
00520,00520,USPS,out-for-delivery,2024-04-11,
00521,00521,UPS,in-transit,2024-03-12,
00522,00522,USPS,Delivered,2024-10-01,
00523,00523,FedEx,out-for-delivery,2024-11-18,
00524,00524,Canada Post,Delivered,2024-06-15,
00525,00525,Purolator,in-transit,2024-04-03,
00526,00526,Canada Post,Returned,,2025-01-03
00527,00527,Purolator,in-transit,2024-03-12,
00528,00528,FedEx,out-for-delivery,2024-03-14,
00529,00529,DHL,Delivered,2024-07-07,
00530,00530,FedEx,Delivered,2024-02-19,
00531,00531,DHL,out-for-delivery,2024-11-12,
00532,00532,FedEx,Delivered,2024-05-22,
00533,00533,UPS,out-for-delivery,2024-09-29,
00534,00534,Canada Post,Delivered,2024-07-26,
00535,00535,Purolator,in-transit,2024-12-07,
00536,00536,USPS,Delivered,2024-06-09,
00537,00537,Purolator,Delivered,2024-08-16,
00538,00538,Canada Post,Delivered,2024-10-15,
00539,00539,DHL,Delivered,2024-09-10,
00540,00540,DHL,out-for-delivery,2024-06-11,
00541,00541,Canada Post,in-transit,2024-11-26,
00542,00542,Canada Post,Delivered,2024-04-19,
00543,00543,Purolator,Delivered,2024-10-04,
00544,00544,Canada Post,in-transit,2024-10-14,
00545,00545,Purolator,Delivered,2024-04-06,
00546,00546,Canada Post,Delivered,2024-10-26,
00547,00547,DHL,Delivered,2025-01-13,
00548,00548,UPS,in-transit,2024-11-17,
00549,00549,FedEx,Delivered,2024-06-05,
00550,00550,USPS,in-transit,2024-12-09,
00551,00551,FedEx,Delivered,2024-06-06,
00552,00552,Canada Post,Delivered,2024-08-02,
00553,00553,USPS,Returned,,2024-09-18
00554,00554,USPS,Delivered,2024-12-17,
00555,00555,UPS,Delivered,2024-06-26,
00556,00556,UPS,in-transit,2024-06-21,
00557,00557,USPS,Delivered,2025-01-23,
00558,00558,UPS,in-transit,2024-12-16,
00559,00559,Canada Post,Delivered,2024-12-27,
00560,00560,Purolator,in-transit,2024-12-01,
00561,00561,UPS,out-for-delivery,2024-01-13,
00562,00562,UPS,Delivered,2024-08-27,
00563,00563,USPS,in-transit,2024-11-24,
00564,00564,Canada Post,Delivered,2024-03-20,
00565,00565,FedEx,in-transit,2024-11-12,
00566,00566,UPS,in-transit,2024-03-11,
00567,00567,DHL,in-transit,2024-03-21,
00568,00568,UPS,in-transit,2024-06-06,
00569,00569,UPS,Delivered,2025-01-20,
00570,00570,Purolator,in-transit,2024-04-09,
00571,00571,DHL,Delivered,2024-04-09,
